Route_ID,Route_Points
Y911,BOYNE;NOCAD;IOM
Y958,BRUCE;TOBMO
Z171,LELNA;THRED;NEDUL;SAM
Z195,ALAVA;MALUD
Z196,GUNTU;DIGMA;LELDO
Z197,LISTO;EKLAD;VOLFI;NOSLO
Z198,ERDUV;MASOP
Z246,HERON;DAUNT
Z247,HERON;OKNOB
Z248,OSMEG;LUCCO
Z249,OSMEG;SUDBY
Z250,LUCCO;SUMIN;HAVEN
Z278,LARGA;PENUN
N560,GOW;FOYLE;ERSON;INBAS;LAGAV;NESDI;GUSSI;DAVOT;RIMOL;BONBY;CHINN;WIK;KOKAL
N864,BHD;DAWLY;TINAN;TIVER;ATWEL;MULIT;EXMOR;NEZZA;NUMPO;BCN;DIKAS;NAVOV;GOGIG;TOPRO;TALGA;UMOLO;NITON;OKTEM;NILGI;MONTY;GODPA;REXAM;IVLOD;WAL;GUNTU;BILVO;SUBUK;DCS;ASRUS;UNURO;TLA;PIPAR;NOVBA;IBOLU;ASNUD
P18,TELBA;STAFA;UTUXA;LISTO;POL;IDKOL;ABKAT;GASKO;UVAVU;TILNI;GIRLI;NATEB;ELMUD;ALASO;RITSI;MADAD;NEXUS;BALID;UPGET;OKPAL;RATPU;ADN
P600,ROTEV;GOTNA;BLACA;TUNSO;GIRVA;TRN;FENIK;GOSAM;GRICE;ENUKU;EDONU;PTH;ASNUD;GANKI;GLESK;NAXIL;ADN;OSLEL;LESNI;BUDON;OVDAN
Y904,ADN;NANEV;SMOKI;WIK
Y905,ADN;PETOX;RISDU;BEKET;ERDOG;GAVEL;RAVDI;MOCHA;SUM
Y906,RIMOL;GARVA;ULLAP;STN
