waypointname,lat, long
EVATA,510821N,0004558W
EVBEV,574710N,0074041W
EVEXU,504116N,0003441W
EVKAL,531547N,0002637W
EVMEK,514741N,0011218E
EVNAL,572431N,0093000W
EVNAS,514004N,0002638E
EVRIN,514656N,0063348W
EVSEM,514350N,0012745W
EVSON,532127N,0013949W
EVTES,510455N,0011257W
EXARO,510003N,0012250W
EXJET,505319N,0030532W
EXMOR,511043N,0032135W
FACTU,522103N,0021713W
FENIK,554255N,0041731W
FERIT,513759N,0003221E
FIGZI,515735N,0023614W
FINDO,562209N,0032749W
FINMA,515947N,0010313W
FITBO,521309N,0022413W
FONZU,504922N,0035359W
FORTY,575700N,0003545E
FOXLA,520157N,0041237W
FOYLE,560834N,0042256W
FRANE,512306N,0003739E
FYNER,560256N,0050655W
GAJIT,512040N,0020000W
GAKKA,504137N,0035542W
GAM,531653N,0005650W
GANKI,564548N,0025808W
GAPLI,500000N,0080000W
GARMI,500000N,0012250W
GARVA,574118N,0042941W
GASBA,515010N,0004853E
GASGU,511224N,0005736W
GASKO,541329N,0015721W
GATRA,511752N,0063755W
GAVEL,592300N,0012422W
GAVGO,513350N,0014236W
GELPO,483839N,0093009W
GETNO,535548N,0032947W
GIBSO,504459N,0023107W
GIBSU,564547N,0031610E
GIGTO,533801N,0040551W
GIGUL,543626N,0031010E
GILDA,513606N,0003501E
GILTI,513413N,0020318E
GINGA,565530N,0093000W
GINIS,532739N,0045129W
GIPER,510000N,0120000W
GIPLO,533131N,0004723W
GIRLI,544241N,0014811W
GIRVA,551108N,0045347W
GISOK,513009N,0050728W
GITUS,502000N,0054200W
GIVEM,552754N,0001453E
GIVPO,531710N,0025209E
GIVUN,504358N,0004803W
GLESK,565400N,0024745W
GLO,552324N,0034412W
GOBNU,512053N,0010625W
GODLU,510958N,0011704E
GODOS,531457N,0032547E
GODPA,525900N,0031001W
GOGIG,515330N,0031502W
GOGSI,511727N,0010002W
GOKTU,501505N,0012245W
GOLES,533629N,0010500W
GOLVO,542441N,0033508E
GOMOT,555510N,0003239W
GOMUP,570000N,0100000W
GONAN,450000N,0140000W
GOREV,560312N,0050000E
GOSAM,554719N,0041202W
GOTNA,543541N,0053553W
GOW,555214N,0042645W
GOXUL,512132N,0001033W
GRICE,561148N,0034108W
GROVE,522338N,0015544W
GUNPA,610000N,0000000E
GUNSO,490310N,0114606W
GUNTU,533537N,0030954W
GUSSI,571247N,0040727W
GWC,505119N,0004524W
HALIF,534406N,0013450W
HANKY,510646N,0010751W
HARDY,502816N,0002928E
HASTY,504342N,0003200E
HAVEN,552740N,0025947W
HAWKE,502227N,0000525E
HAZEL,510019N,0005904W
HEMEL,514820N,0002510W
HERON,552035N,0050000W
HICAP,510516N,0035024W
HILLY,512006N,0001437E
HOFIK,512605N,0020000W
HOLLY,505312N,0000542W
HON,522124N,0013949W
HOTBE,504749N,0035419W
IBGON,510047N,0004758W
IBNID,503144N,0014708W
IBOLU,562310N,0030803W
IBRAR,533154N,0034111W
IBROD,563000N,0100000W
IBTES,542625N,0050315W
IDESI,515352N,0015308E
IDEXA,532814N,0050951W
IDGAS,541423N,0043329W
IDITU,513225N,0005837E
IDKOL,540543N,0015945W
IDOKI,495137N,0061139W
IDOVO,521326N,0033304W
ILZAP,513543N,0051135W
IMVUR,511029N,0003156W
INBAS,564200N,0041459W
INBOB,553625N,0050000E
INDOX,511840N,0010114W
INGUR,514242N,0025137W
INKEK,503853N,0003209W
INKOB,535216N,0042414W
INLAK,512841N,0013127W
INLIM,515423N,0011913E
INPIP,545236N,0025346W
INPUT,551818N,0043905E
INREV,550857N,0030539W
INRUB,514910N,0035141W
INSUN,502343N,0061924W
IOM,540401N,0044549W
IPDOR,552239N,0031545W
IPKUS,513152N,0002319E
IPNOX,541340N,0024222W
IPRIL,514029N,0001335W
IPSAD,552145N,0024114W
IPSET,543106N,0052709W
IPSIR,540454N,0015657W
IPZOL,505427N,0031340W
IRKUM,525948N,0052239W
IRKUN,505516N,0012800E
ITJON,512832N,0025908W
ITSUX,560300N,0033000E
ITVIP,511714N,0010312E
IVLOD,530746N,0030919W
IXURA,520405N,0012540W
JACKO,514409N,0012536E
JOZMA,503738N,0035635W
JSY,491316N,0020246W
KAPEX,504030N,0015100W
KARMO,525340N,0025354W
KATHY,503114N,0012000W
KEGUN,531133N,0030901W
KELLY,535419N,0042151W
KEMPY,520739N,0003846E
KENET,513114N,0012718W
KEPAD,524835N,0022844W
KESEG,600058N,0060056W
KESIX,565700N,0140000W
KESUP,511932N,0033917W
KIDLI,514617N,0012141W
KILFA,514209N,0015759W
KLONN,582324N,0024944E
KOBBI,514114N,0000918W
KOFAL,502831N,0035836W
KOGAD,493000N,0150000W
KOKAL,585735N,0025338W
KOKIB,543000N,0140000W
KOLAG,530237N,0031518E
KOLID,533426N,0024520W
KONAN,510751N,0020000E
KOPUL,513232N,0010814E
KOTEM,500000N,0010314W
KOXOD,504229N,0031958W
KUBAX,525634N,0025713E
KUGUR,553000N,0100000W
KUKIS,514156N,0030437W
KUMIL,503431N,0013639W
KUNAV,503054N,0010356E
KUVOX,580459N,0073624W
KUXEM,531511N,0024047W
LAGAV,565335N,0041210W
LAKEY,541420N,0025852W
LAM,513846N,0000906E
LAMAT,511807N,0030103W
LAMIX,531829N,0004056W
LAMMA,555130N,0024603W
LAMRO,570151N,0033309E
LAMSO,524358N,0025940E
LANAK,554201N,0035619W
LANON,522552N,0042221W
LANPI,521115N,0052330W
LANVA,534348N,0042638W
LAPRA,520707N,0011236E
LARCK,505442N,0002648E
LARDI,533616N,0033057E
LARGA,545150N,0040912E
LARLA,492241N,0070715W
LASNO,483554N,0090000W
LATMU,531525N,0020522E
LAVRI,511549N,0003449E
LAZTU,514216N,0045200W
LEDBO,523235N,0020608E
LEDGO,511424N,0073405W
LEGRO,531935N,0013046E
LELDO,534300N,0040507W
LELNA,495857N,0020623W
LEMGU,522422N,0052236W
LESLU,510000N,0080000W
LESNI,573233N,0011622W
LESRA,552308N,0050000E
LESTA,524427N,0010419W
LIBBA,554326N,0034443W
LIBSO,533129N,0000536E
LIFFY,532848N,0053000W
LIMKA,543026N,0051311W
LINDY,512814N,0010257W
LIPGO,530350N,0053000W
LISBO,543130N,0060524W
LISTO,530836N,0021157W
LIVSU,514149N,0005058E
LIZAD,493525N,0041949W
LND,500811N,0053813W
LOFFO,515012N,0003556E
LOGAN,514451N,0013643E
LOMON,560346N,0043448W
LOMVO,531616N,0051046W
LON,512914N,0002800W
LONAM,535022N,0035633E
LOREL,520050N,0000310W
LORKU,495618N,0022216W
LOVEL,531506N,0021628W
LUCCO,552049N,0043341W
LUFTU,515139N,0035501W
LUGIS,500000N,0005220W
LULOX,502200N,0080000W
LUSEN,603000N,0100000W
LUSIV,554002N,0041441W
LUSOD,535623N,0041926W
LUTIP,531522N,0044416W
LUTOV,551422N,0100000W
LUXIV,510511N,0004657W
LUXTO,520831N,0020338W
LYD,505959N,0005243E
LYNAS,532633N,0042000W
MABUG,494705N,0055612W
MAC,552548N,0053901W
MADAD,555447N,0014402W
MAGEE,544730N,0053630W
MAKUX,535830N,0045228W
MALBY,513533N,0020342W
MALUD,532448N,0033630W
MAMUL,532505N,0011648W
MANGO,514134N,0004726E
MANIG,494707N,0031534W
MARUK,501447N,0020420W
MASOP,540921N,0042115W
MATCH,514645N,0001500E
MATIK,610000N,0080400W
MATUT,541017N,0043822W
MAVET,540257N,0033104W
MAXIT,511459N,0003343W
MAY,510102N,0000658E
MAYLA,513741N,0004312E
MCT,532125N,0021544W
MEDOG,515701N,0033258W
MEGEL,522058N,0020425E
MERLY,512000N,0050000W
MID,510314N,0003730W
MIMBI,513257N,0014136W
MIMFO,511358N,0002930E
MIMKU,560000N,0100000W
MIMVA,530603N,0031813E
MIPVO,521329N,0013609E
MIRSI,533217N,0024242W
MITSO,533907N,0005338W
MIVLA,504630N,0011558W
MOCHA,593256N,0012159W
MODGO,602643N,0073955W
MODMI,511401N,0002910W
MOGLI,521830N,0001609W
MOGLO,553000N,0140000W
MOGMO,532443N,0011251W
MOGTA,531008N,0023810W
MOKBU,511610N,0012914E
MOLAK,543649N,0093023W
MOLIX,524919N,0030407E
MONTY,525334N,0031026W
MOPAT,512955N,0070537W
MORAG,524510N,0053000W
MOSIS,490026N,0071253W
MOSUN,515338N,0022610W
MOTOX,505728N,0012800E
MOVEN,520343N,0014847W
MULIT,510047N,0032319W
NAKID,494254N,0043723W
NALAN,610000N,0060000W
NALAX,532900N,0002406E
NANEV,573429N,0022714W
NANTI,530815N,0023401W
NANUM,520135N,0013747W
NAPEX,531223N,0005140W
NATEB,550218N,0014154W
NATKO,532712N,0043807W
NAVEL,553513N,0005031E
NAVOV,514831N,0031525W
NAVPI,523250N,0025026E
NAVSO,551322N,0034849W
NAXAT,514721N,0015756W
NAXIL,565724N,0024326W
NEDEX,515237N,0012820W
NEDUL,503958N,0013252W
NEKAP,514335N,0051726W
NELBO,542924N,0051810W
NELKO,504214N,0005718W
NELSA,535148N,0021105W
NENVO,524238N,0025315W
NEPNA,512958N,0002657E
NERTU,490000N,0140000W
NESDI,570718N,0040848W
NETKI,550000N,0140000W
NETVU,502445N,0002854E
NEVIL,500000N,0002206W
NEVIS,564143N,0043241W
NEVRI,540406N,0061611W
NEW,550218N,0014154W
NEXUS,561243N,0015041W
NEXXU,513248N,0044338W
NEZZA,512352N,0031916W
NIBDA,510052N,0005501W
NIBOG,550000N,0100000W
NIDGO,505658N,0004608W
NIGIT,511847N,0011015W
NILAV,450000N,0132500W
NILGI,524835N,0031050W
NILON,513546N,0003804E
NIMAT,535754N,0054432W
NINEB,540344N,0040742W
NINEX,585120N,0093000W
NIPIT,542709N,0082410W
NISBI,532129N,0003921W
NISKA,541500N,0023033W
NITON,523312N,0031201W
NIVKO,505606N,0003228E
NIVUN,573412N,0040813E
NOBDO,550453N,0024748E
NOCAD,535837N,0045913W
NOKIN,530436N,0025258W
NOMSU,532806N,0032604W
NONVA,513846N,0012144E
NOPKI,540516N,0042608W
NORBO,553545N,0044543W
NORLA,513709N,0065211W
NORRY,512847N,0010724W
NOSLO,532254N,0033842W
NOTGI,503510N,0002503W
NOTRO,502612N,0031021W
NOVBA,561200N,0031051W
NOVMA,510212N,0004515W
NUBRI,512017N,0011356W
NUDNA,520355N,0005017E
NUGBO,515822N,0000412W
NUGRA,530146N,0021814W
NULGU,505217N,0015939W
NUMPI,540840N,0053536W
NUMPO,513636N,0031701W
OBOXA,541036N,0015420W
OBUBA,574640N,0073319W
OBUNI,535440N,0024433W
OCK,511818N,0002650W
ODADA,505456N,0052634W
